"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","openlambda-2",,,,"User:","heron"
"Cmdline:","dstat -ta -p -y -m --socket --vm --noheaders --output systemstats.csv",,,,"Date:","19 Apr 2017 19:52:39 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"system",,"memory usage",,,,"sockets",,,,,"virtual memory",,,
19-04 19:52:48,0.0,0.0,100.0,0.0,0.0,0.0,0.0,16384.0,132.0,796.0,0.0,0.0,36.0,94.0,0.0,0.0,0.0,36.0,94.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:49,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,788.0,0.0,0.0,32.0,87.0,0.0,0.0,0.0,32.0,87.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:50,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,132.0,796.0,0.0,0.0,43.0,116.0,0.0,0.0,0.0,43.0,116.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:51,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,144.0,2176.0,0.0,0.0,39.0,103.0,0.0,0.0,0.0,39.0,103.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:52,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,132.0,204.0,0.0,0.0,91.0,199.0,0.0,0.0,0.0,91.0,199.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:53,0.0,0.0,100.0,0.0,0.0,0.0,0.0,94208.0,132.0,788.0,0.0,0.0,44.0,65.0,0.0,0.0,0.0,44.0,65.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:54,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,788.0,0.0,0.0,25.0,68.0,0.0,0.0,0.0,25.0,68.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:55,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,132.0,796.0,0.0,0.0,29.0,79.0,0.0,0.0,0.0,29.0,79.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:56,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,788.0,0.0,0.0,31.0,86.0,0.0,0.0,0.0,31.0,86.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:57,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,796.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,25.0,75.0,897462272.0,188821504.0,1848578048.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0
19-04 19:52:58,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,788.0,0.0,0.0,32.0,86.0,0.0,0.0,0.0,32.0,86.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,9.0
19-04 19:52:59,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,788.0,0.0,0.0,32.0,86.0,0.0,0.0,0.0,32.0,86.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:53:00,0.0,0.0,99.0,1.0,0.0,0.0,0.0,12288.0,132.0,788.0,0.0,0.0,35.0,96.0,0.0,0.0,0.0,35.0,96.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:53:01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,788.0,0.0,0.0,31.0,88.0,0.0,0.0,0.0,31.0,88.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:53:02,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,796.0,0.0,0.0,26.0,76.0,0.0,0.0,0.0,26.0,76.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:53:03,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,686.0,0.0,0.0,24.0,70.0,0.0,0.0,0.0,24.0,70.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,2.0,3.0,1.0
19-04 19:53:04,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,890.0,0.0,0.0,28.0,73.0,0.0,0.0,0.0,28.0,73.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:53:05,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,174.0,1482.0,0.0,0.0,34.0,82.0,0.0,0.0,0.0,34.0,82.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:53:06,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,144.0,0.0,0.0,29.0,88.0,0.0,0.0,0.0,29.0,88.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
