1492718158.245,20-04 19:55:58,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,724.0,0.0,0.0,34.0,93.0,0.0,0.0,0.0,34.0,93.0,906248192.0,190169088.0,1851666432.0,931086336.0,1436.0,8.0,5.0,0.0,0.0
1492718159.245,20-04 19:55:59,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,740.0,0.0,0.0,31.0,84.0,0.0,0.0,0.0,31.0,84.0,906244096.0,190169088.0,1851670528.0,931086336.0,1436.0,8.0,5.0,0.0,0.0
1492718160.245,20-04 19:56:00,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,740.0,0.0,0.0,33.0,87.0,0.0,0.0,0.0,33.0,87.0,906244096.0,190169088.0,1851670528.0,931086336.0,1436.0,8.0,5.0,0.0,0.0
1492718161.245,20-04 19:56:01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,61440.0,4352.0,2509.0,0.0,0.0,68.0,128.0,0.0,0.0,0.0,68.0,128.0,906211328.0,190169088.0,1851670528.0,931119104.0,1436.0,8.0,5.0,0.0,0.0
1492718162.245,20-04 19:56:02,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,210.0,0.0,0.0,38.0,108.0,0.0,0.0,0.0,38.0,108.0,906211328.0,190169088.0,1851670528.0,931119104.0,1436.0,8.0,5.0,0.0,0.0
1492718163.245,20-04 19:56:03,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,748.0,0.0,0.0,33.0,89.0,0.0,0.0,0.0,33.0,89.0,906211328.0,190169088.0,1851670528.0,931119104.0,1436.0,8.0,5.0,0.0,0.0
1492718164.245,20-04 19:56:04,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,740.0,0.0,0.0,36.0,95.0,0.0,0.0,0.0,36.0,95.0,906211328.0,190169088.0,1851670528.0,931119104.0,1436.0,8.0,5.0,0.0,0.0
1492718165.245,20-04 19:56:05,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,740.0,0.0,0.0,34.0,92.0,0.0,0.0,0.0,34.0,92.0,906211328.0,190169088.0,1851670528.0,931119104.0,1436.0,8.0,5.0,0.0,0.0
1492718166.245,20-04 19:56:06,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,132.0,740.0,0.0,0.0,41.0,122.0,0.0,0.0,0.0,41.0,122.0,906211328.0,190169088.0,1851670528.0,931119104.0,1436.0,8.0,5.0,0.0,0.0
1492718167.245,20-04 19:56:07,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,740.0,0.0,0.0,34.0,108.0,0.0,0.0,0.0,34.0,108.0,906211328.0,190169088.0,1851670528.0,931119104.0,1436.0,8.0,5.0,0.0,0.0
1492718168.245,20-04 19:56:08,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,748.0,0.0,0.0,36.0,96.0,0.0,0.0,0.0,36.0,96.0,906211328.0,190169088.0,1851670528.0,931119104.0,1436.0,8.0,5.0,0.0,0.0
1492718169.245,20-04 19:56:09,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,740.0,0.0,0.0,37.0,97.0,0.0,0.0,0.0,37.0,97.0,906178560.0,190169088.0,1851670528.0,931151872.0,1436.0,8.0,5.0,0.0,0.0


"Host:","openlambda-2",,,,"User:","heron"
"Cmdline:","dstat -T -ta -p -y -m --socket --noheaders --output systemstats.csv 3",,,,"Date:","20 Apr 2017 19:58:37 UTC"

"epoch","system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"system",,"memory usage",,,,"sockets",,,,
"epoch","time","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","int","csw","used","buff","cach","free","tot","tcp","udp","raw","frg"
1492718317.728,20-04 19:58:37,0.116,0.040,99.799,0.043,0.0,0.001,957.968,11747.007,0.0,0.0,0.0,0.0,32.234,101.802,0.0,0.0,0.188,32.234,101.802,905695232.0,190177280.0,1851670528.0,931627008.0,1436.0,8.0,5.0,0.0,0.0
1492718320.729,20-04 19:58:40,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1365.333,220.0,1031.333,0.0,0.0,39.0,106.667,0.0,0.0,0.0,39.0,106.667,905695232.0,190177280.0,1851670528.0,931627008.0,1436.0,8.0,5.0,0.0,0.0
